STT,Trường,Mã ngành,Tên ngành,Tổ hợp,Điểm chuẩn ĐGNL HCM 2025,Phương thức,Ghi chú
1,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480202,An toàn thông tin,None,885.377,Điểm ĐGNL HCM,ĐGNL HCM
2,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480202_CLC,An toàn thông tin - Chất lượng cao,None,802.32,Điểm ĐGNL HCM,ĐGNL HCM
3,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320101,Báo chí,None,784.46,Điểm ĐGNL HCM,ĐGNL HCM
4,Học Viện Công Nghệ Bưu Chính Viễn Thông,7510301,"Công nghệ Kỹ thuật Điện, điện tử",None,861.034,Điểm ĐGNL HCM,ĐGNL HCM
5,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201,Công nghệ thông tin,None,906.8,Điểm ĐGNL HCM,ĐGNL HCM
6,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201_UDU,Công nghệ thông tin (Cử nhân định hướng ứng dụng),None,766.6,Điểm ĐGNL HCM,ĐGNL HCM
7,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201_CLC,Công nghệ thông tin CLC,None,820.057,Điểm ĐGNL HCM,ĐGNL HCM
8,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480201-VNH,Công nghệ thông tin Việt - Nhật,None,815.24,Điểm ĐGNL HCM,ĐGNL HCM
9,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340205,Công nghệ tài chính (Fintech),None,821.274,Điểm ĐGNL HCM,ĐGNL HCM
10,Học Viện Công Nghệ Bưu Chính Viễn Thông,7510301_MBD,"Công nghệ vi mạch bán dẫn (ngành Công nghệ Kỹ thuật Điện, điện tử)",None,896,Điểm ĐGNL HCM,ĐGNL HCM
11,Học Viện Công Nghệ Bưu Chính Viễn Thông,7329001,Công nghệ đa phương tiện,None,836.286,Điểm ĐGNL HCM,ĐGNL HCM
12,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480101,Khoa học máy tính (định hướng Khoa học dữ liệu),None,921.56,Điểm ĐGNL HCM,ĐGNL HCM
13,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301,Kế toán,None,778,Điểm ĐGNL HCM,ĐGNL HCM
14,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340301-CLC,Kế toán chất lượng cao (chuẩn quốc tế ACCA),None,721,Điểm ĐGNL HCM,ĐGNL HCM
15,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480102,Kỹ thuật dữ liệu (ngành Mạng máy tính và truyền thông dữ liệu),None,852.514,Điểm ĐGNL HCM,ĐGNL HCM
16,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520216,Kỹ thuật Điều khiển và tự động hóa,None,920.84,Điểm ĐGNL HCM,ĐGNL HCM
17,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520207,Kỹ thuật Điện tử viễn thông,None,880.914,Điểm ĐGNL HCM,ĐGNL HCM
18,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340101-LOG,Logistics và quản trị chuỗi cung ứng (ngành Quản trị kinh doanh),None,844.4,Điểm ĐGNL HCM,ĐGNL HCM
19,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115,Marketing,None,836.286,Điểm ĐGNL HCM,ĐGNL HCM
20,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115_CLC,Marketing (chất lượng cao),None,759,Điểm ĐGNL HCM,ĐGNL HCM
21,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340115_QHC,Quan hệ công chúng (ngành Marketing),None,814.86,Điểm ĐGNL HCM,ĐGNL HCM
22,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340101,Quản trị kinh doanh,None,787.5,Điểm ĐGNL HCM,ĐGNL HCM
23,Học Viện Công Nghệ Bưu Chính Viễn Thông,7329001_GAM,Thiết kế và phát triển Game (ngành Công nghệ đa phương tiện),None,815.24,Điểm ĐGNL HCM,ĐGNL HCM
24,Học Viện Công Nghệ Bưu Chính Viễn Thông,7340122,Thương mại điện tử,None,880.914,Điểm ĐGNL HCM,ĐGNL HCM
25,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320104,Truyền thông đa phương tiện,None,887,Điểm ĐGNL HCM,ĐGNL HCM
26,Học Viện Công Nghệ Bưu Chính Viễn Thông,7320104_CLC,Truyền thông đa phương tiện - Chương trình đào tạo chất lượng cao,None,783.7,Điểm ĐGNL HCM,ĐGNL HCM
27,Học Viện Công Nghệ Bưu Chính Viễn Thông,7480107,Trí tuệ nhân tạo,None,902.12,Điểm ĐGNL HCM,ĐGNL HCM
28,Học Viện Công Nghệ Bưu Chính Viễn Thông,7520207_AIoT,Trí tuệ nhân tạo vạn vật (AIoT) (ngành Kỹ thuật Điện tử viễn thông),None,871.583,Điểm ĐGNL HCM,ĐGNL HCM
29,Học Viện Hàng không Việt Nam,7480201S,Công nghệ phần mềm và Trí tuệ nhân tạo (Ngành: CNTT),None,640,Điểm ĐGNL HCM,ĐGNL HCM
30,Học Viện Hàng không Việt Nam,7340101D,Kinh doanh số (Ngành: QTKD),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
31,Học Viện Hàng không Việt Nam,7840104K,Kinh tế Hàng không (Ngành: Kinh tế vận tải),None,785,Điểm ĐGNL HCM,ĐGNL HCM
32,Học Viện Hàng không Việt Nam,7520120M,Kỹ thuật bảo dưỡng tàu bay (Ngành: Kỹ thuật HK),None,815,Điểm ĐGNL HCM,ĐGNL HCM
33,Học Viện Hàng không Việt Nam,7520120,Kỹ thuật hàng không,None,830,Điểm ĐGNL HCM,ĐGNL HCM
34,Học Viện Hàng không Việt Nam,7520120E,Kỹ thuật hàng không (học bằng Tiếng Anh),None,815,Điểm ĐGNL HCM,ĐGNL HCM
35,Học Viện Hàng không Việt Nam,7520120U,Kỹ thuật thiết bị bay không người lái (Ngành: Kỹ thuật HK),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
36,Học Viện Hàng không Việt Nam,7840104,Logistics và Quản lý Chuỗi cung ứng; Logistics và Vận tải đa phương thức,None,800,Điểm ĐGNL HCM,ĐGNL HCM
37,Học Viện Hàng không Việt Nam,7840104E,Logistics và Vận tải đa phương thức (học bằng Tiếng Anh),None,755,Điểm ĐGNL HCM,ĐGNL HCM
38,Học Viện Hàng không Việt Nam,7340115,Marketing,None,830,Điểm ĐGNL HCM,ĐGNL HCM
39,Học Viện Hàng không Việt Nam,7220201,Ngôn ngữ Anh,None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
40,Học Viện Hàng không Việt Nam,7840102E,Quản lý hoạt động bay (học bằng Tiếng Anh); Quản lý và khai thác bay (học bằng Tiếng Anh),None,921.25,Điểm ĐGNL HCM,ĐGNL HCM
41,Học Viện Hàng không Việt Nam,7840102,Quản lý hoạt động bay; Hệ thống kỹ thuật quản lý bay,None,845,Điểm ĐGNL HCM,ĐGNL HCM
42,Học Viện Hàng không Việt Nam,7510102Q,Quản lý và khai thác cảng HK (Ngành: CNKT Công trình xây dựng),None,697.5,Điểm ĐGNL HCM,ĐGNL HCM
43,Học Viện Hàng không Việt Nam,7340101E,Quản trị Hàng không (học bằng Tiếng Anh),None,726.5,Điểm ĐGNL HCM,ĐGNL HCM
